timestamp,axle_id,speed_kmh,bearing_temp_c,track_vibration_g,brake_pressure_bar,anomaly_flag
2026-09-12 10:00:00,AX-101,110.2,52.4,0.32,4.8,0
2026-09-12 10:05:00,AX-101,111.5,53.1,0.34,4.8,0
2026-09-12 10:10:00,AX-101,109.8,53.8,0.31,4.7,0
2026-09-12 10:15:00,AX-101,112.0,54.5,0.35,4.8,0
2026-09-12 10:20:00,AX-101,110.4,55.0,0.33,4.8,0
2026-09-12 10:25:00,AX-101,113.2,56.2,0.36,4.7,0
2026-09-12 10:30:00,AX-101,111.0,58.4,0.39,4.8,0
2026-09-12 10:35:00,AX-101,110.8,61.7,0.45,4.7,0
2026-09-12 10:40:00,AX-101,112.4,68.9,0.58,4.6,0
2026-09-12 10:45:00,AX-101,114.1,79.3,0.84,4.4,1
2026-09-12 10:50:00,AX-101,113.8,88.6,1.15,4.2,1
2026-09-12 10:55:00,AX-101,111.2,96.4,1.42,3.9,1
2026-09-12 11:00:00,AX-101,108.5,104.2,1.88,3.5,1
2026-09-12 11:05:00,AX-101,95.0,98.1,1.54,3.8,1
2026-09-12 11:10:00,AX-101,80.2,85.3,1.02,4.3,1
2026-09-12 11:15:00,AX-101,65.0,72.1,0.61,4.7,0
